,date,# of trips
1165,2016-02-16,381
1166,2016-02-17,666
1167,2016-02-18,617
1168,2016-02-19,605
1169,2016-02-20,614
1170,2016-02-21,540
1171,2016-02-22,746
1172,2016-02-23,701
1173,2016-02-24,378
1174,2016-02-25,725
1175,2016-02-26,644
1176,2016-02-27,462
1177,2016-02-28,630
1178,2016-02-29,819
1179,2016-03-01,819
1180,2016-03-02,560
1181,2016-03-03,712
1182,2016-03-04,598
1183,2016-03-05,577
1184,2016-03-06,543
1185,2016-03-07,843
1186,2016-03-08,998
1187,2016-03-09,1276
1188,2016-03-10,665
1189,2016-03-11,975
1190,2016-03-12,999
